,name,search_count,ID,Team,status,total_earn
387,Serafim Savelyev,19800,L0lik_O,Digital Company,"Active
",1501.0
388,Dominik Stipić,27700,Lacoste,,"Retired
",7765.0
389,Pipat Prariyachat,1170,LaKelz,Alpha Red,"Active
",12090.0
390,João Pedro Lanaro,21300,Lanaro,Ode,"Active
",8067.0
391,Fua Hsien Wan,12200,Lance,Team HighGround,,
392,Zhang Zhicheng,322000,LaNm,Vici Gaming,"Active
",1073467.0
393,Eetu Seppälä,16400,Lapiz,,"Inactive
",2038.0
394,David Gorman,3680000,LD,,"Active
",
395,Zhang Xuanhao,53100,le,,"Active
",39162.0
396,Nikola Popović,103000,LeBronDota,Elements Pro,"Active
",18407.0
397,Leonardo Sifuentes,323000,LeoStyle-,CDM eSports,"Active
",8628.0
398,Timo Waszek,21300,Ler_GG,,"Inactive
",
399,Peng Li,2260000,Li,,"Active
",13057.0
400,Wang Yutian,86600,Liekkas,EHOME.Immortal,"Active
",21529.0
401,Dmitry Kupriyanov,151000,LighTofHeaveN,,"Retired
",269862.0
402,Ilya Ilyuk,101000,Lil,Natus Vincere,"Active
",906474.0
403,Marcio Rodrigues,812000,Lil_kin6,INTZ eSports,"Active
",2440.0
