,player_id,status,total_earn
780,Xz,"Active
",693250
781,y`,"Active
",1967009
782,Yabyoo,"Active
",5284
783,yAj,"Active
",6200
784,YamateH,"Active
",39111
785,Yang,"Active
",207633
786,Yao,"Active
",1191747
787,YaphetS,"Inactive
",3000
788,YapzOr,"Active
",383363
789,YawaR,"Active
",73893
790,yChen,"Active
",5344
791,Yin,"Active
",1759
792,yoky-,"Active
",118493
793,yol,"Active
",54088
794,yoona,"Active
",22030
795,YRG,"Active
",10541
796,Ysaera,"Inactive
",180
797,yxb,"Active
",2000
798,yxl,,
799,YYF,,
800,Zacky,,
801,zai,,
802,Zayac,,
803,Zenigata,,
804,Zeroji,,
805,ZeroPerfect,,
806,Zfreek,,
807,zhizhizhi,,
808,Zhou,,
809,ZippO,,
810,Zizou,,
811,ZSMJ,,
812,Ztok,,
813,zxc,,
814,Zyori,,
815,Zyzz,,
816,Женя,,
817,冷鸟,,
818,垃圾君,,
819,天命,,
820,小郭嘉,,
821,老A,,
822,荧,,
823,闷油瓶,,
